user_id Interactions
0 |[4494, 6385, 5224, 10041, 9451, 8951, 3042, 15114, 5819, 6819, 10748, 15106, 9839, 8335, 7439, 11499, 4819, 3461, 6443, 3960, 16502, 12203, 4532, 8357, 16677, 209, 2203, 3607, 5562, 3468, 2531, 5735, 9306, 1658, 9666, 7701, 11743, 6386, 3096]|
1 |[3228, 5798, 15633, 4826, 7135, 2241, 1272, 15340, 2688, 6662, 16735, 14859, 8130, 13881, 12594, 1463, 6258, 6551, 13699, 4275, 9976, 9490, 6332, 8947, 1242, 13381, 13244, 11092, 4462, 2030, 14117, 4470, 9281, 3710, 16404, 3928, 2765, 14196, 7296]|
2 |[15024, 11756, 668, 8315, 10873, 704, 14882, 4296, 6372, 1917, 8034, 12847, 9599, 15748, 9268, 4887, 2226, 129, 13543, 8167, 11959, 478, 1190, 6480, 8262, 7627, 4409, 1676, 4182, 10066, 11612, 1426]|
3 |[8760, 5042, 3490]|
4 |[7855, 16760, 14681, 2089, 6735, 12989, 12462, 6411, 5985, 6527, 2374, 7027, 14692, 12918, 349, 3568, 11604, 10507, 7923, 8919, 10195, 8591, 10145, 12116, 14325, 3718, 1309, 6013, 4853, 16104, 131, 1144, 15897, 10561, 757, 2764, 10700, 13318, 8778]|
5 |[5798, 3228, 15633, 4826, 7135, 2241, 1272, 15340, 6662, 2688, 16735, 14859, 8130, 13881, 1463, 12594, 6258, 6551, 13699, 4275, 9976, 9490, 6332, 8947, 1242, 13381, 4462, 2030, 13244, 11092]|
6 |[7701, 11743, 5026, 9666, 12848, 12621, 15330, 6307, 2531, 15321, 7593, 12124, 5427, 209, 14883, 10687, 8357, 10322, 4532, 2884, 12203, 3960, 6443, 3461, 4819, 11499, 5279, 7439]|
7 |[9265, 10671, 3876, 14767, 10104, 1655, 1836, 4653, 6592, 8325, 2982, 11476, 8458, 2165, 6143, 8143, 16339, 16707, 11248]|
8 |[1568, 8156, 5609, 15642, 962, 10506, 802, 16310, 7794, 6543, 16635, 15596, 13749, 4428, 3583, 3367, 3658, 6454, 11120, 14290]|
9 |[15450, 9541, 373, 16490, 16534, 15715, 16028, 16254, 833, 11596, 15600, 1775, 751, 1377, 10445, 733, 14484, 5166, 11491, 5064, 407, 5214, 4589, 5087, 13817, 9570, 5972, 2128, 3688, 13722, 4780, 5375, 7452]|
10 |[8326, 14984, 3883, 7456, 737, 107, 11343, 8808, 15972, 284, 12505, 2053, 3836, 9370, 15045, 4482, 5960, 1116, 377, 15425, 9160, 5060, 15851, 6988, 7080, 2139, 735, 16422, 250, 1740, 9547, 14569, 5859, 8806, 9641, 10416, 16234]|
11 |[16635, 13749, 15596, 3583, 10506, 15642, 5609, 8156, 6454, 11120, 1568, 16662, 12142, 962, 802, 11509, 7794, 16310, 6543, 1559, 4428, 12897, 3367, 3658, 14331, 14290, 4124, 11640, 13885, 9234, 5367, 14665, 1989, 6192, 6239, 3674, 12467]|
12 |[13200, 13963, 12076, 16660, 3526, 12823, 9229, 5973, 5104, 7631, 5818, 11918, 6414, 14922, 16473, 748, 14421, 12760, 818, 2952, 14556, 11487, 3128, 12392, 2980, 11362, 2605, 193, 11387, 6744, 16766, 6123, 2790, 9186, 15158, 10857, 12631, 16707]|
13 |[12634, 2288, 9929, 9149, 7926, 1921, 12407, 5770, 5268, 4006, 8221, 11017, 10859, 12483, 13679, 12467, 3674]|
